date,open,high,low,close,volume
2024-10-21,410.42,413.22,408.08,413.04,14206100
2024-10-22,412.76,424.68,412.31,421.65,25482200
2024-10-23,424.96,425.18,416.74,418.78,19654400
2024-10-24,419.50,420.14,416.61,418.91,13581600
2024-10-25,420.91,426.60,420.73,422.29,16899100
2024-10-28,425.75,426.02,420.46,420.75,14882400
2024-10-29,422.14,427.24,419.97,426.03,17644100
2024-10-30,431.45,432.49,426.18,426.61,29749100
2024-10-31,409.67,410.46,400.73,400.78,53971000
2024-11-01,403.41,409.81,401.92,404.75,24230400
2024-11-04,404.19,404.80,400.01,402.86,19672300
2024-11-05,402.78,409.22,402.49,405.82,17626000
2024-11-06,406.77,414.69,404.90,414.42,26681800
2024-11-07,415.51,421.00,414.13,419.60,19901800
2024-11-08,419.49,420.66,416.00,416.75,16891400
2024-11-11,416.73,418.99,410.30,412.28,24503300
2024-11-12,412.52,418.63,411.49,417.24,19401200
2024-11-13,415.86,423.45,412.48,419.38,21502200
2024-11-14,419.18,422.30,414.25,421.04,30246900
2024-11-15,414.07,417.01,407.97,409.32,28247600
2024-11-18,409.19,412.67,406.46,410.06,24727000
2024-11-19,407.45,412.22,405.91,412.07,18133500
2024-11-20,411.16,411.57,404.96,409.80,19191700
2024-11-21,414.58,414.86,405.48,408.03,20780200
2024-11-22,406.55,412.51,406.24,412.11,24814600
2024-11-25,413.47,416.14,409.99,413.88,27691100
2024-11-26,414.67,424.01,413.94,422.97,23458900
2024-11-27,420.13,422.22,417.07,418.03,18332400
2024-11-29,415.16,419.90,412.90,418.50,16271900
2024-12-02,416.63,427.92,416.37,425.93,20207200
2024-12-03,424.80,427.40,422.73,426.14,18302000
2024-12-04,427.95,434.52,427.56,432.29,26009400
2024-12-05,432.79,439.45,431.06,437.43,21697800
2024-12-06,437.11,440.87,436.59,438.37,18821000
2024-12-09,437.41,443.07,435.34,440.79,19144400
2024-12-10,439.18,444.35,436.42,438.13,18469500
2024-12-11,438.84,445.07,438.84,443.73,19200200
2024-12-12,443.84,450.81,443.84,444.29,20834800
2024-12-13,443.18,446.14,440.36,442.03,20177800
2024-12-16,442.03,446.88,440.06,446.30,23598800
2024-12-17,445.72,449.95,444.30,449.13,22733500
2024-12-18,446.03,447.34,431.90,432.26,24444500
2024-12-19,436.44,437.98,431.20,431.91,22963700
2024-12-20,428.03,438.54,423.60,431.48,64263700
2024-12-23,431.62,432.52,427.76,430.15,19152500
2024-12-24,429.55,434.45,429.10,434.18,7164500
2024-12-26,433.93,435.77,431.51,432.97,8194200
2024-12-27,429.50,430.12,421.35,425.48,18117700
2024-12-30,421.06,422.54,416.95,419.85,13158700
2024-12-31,421.10,421.73,415.73,416.56,13246500
2025-01-02,420.54,421.07,409.99,413.67,16896500
2025-01-03,416.14,419.06,414.62,418.39,16662900
2025-01-06,422.98,429.23,420.49,422.83,20573600
2025-01-07,423.97,425.60,415.87,417.42,18139100
2025-01-08,418.50,421.96,416.60,419.58,15054600
2025-01-10,419.65,419.73,410.15,414.04,20201100
2025-01-13,410.37,413.59,407.46,412.30,17604800
2025-01-14,412.91,414.82,405.90,410.80,16935900
2025-01-15,414.22,423.13,413.37,421.31,19637800
2025-01-16,423.67,424.45,419.41,419.60,15300000
2025-01-17,429.00,429.39,423.15,424.00,26197500
2025-01-21,425.16,425.85,420.61,423.48,26085700
2025-01-22,432.43,442.03,430.89,440.97,27803800
2025-01-23,436.82,441.51,436.32,441.47,18389300
2025-01-24,439.94,441.41,436.23,438.85,15549500
2025-01-27,419.04,430.10,418.53,429.47,35647800
2025-01-28,429.50,443.12,426.32,441.96,23491700
2025-01-29,441.45,441.64,435.24,437.14,23581400
2025-01-30,413.86,417.90,408.32,410.12,54586300
2025-01-31,414.07,415.76,410.05,410.19,34161900
2025-02-03,406.77,410.54,403.87,406.10,25679100
2025-02-04,407.85,409.07,404.94,407.54,20532100
2025-02-05,407.52,408.98,405.59,408.44,16316700
2025-02-06,409.15,413.30,409.15,410.95,16309800
2025-02-07,411.60,413.74,403.32,404.95,22886800
2025-02-10,408.86,410.59,406.10,407.39,20817900
2025-02-11,404.84,407.65,404.50,406.62,18140600
2025-02-12,402.44,405.93,399.63,404.24,19121700
2025-02-13,402.23,406.18,401.60,405.73,23891700
2025-02-14,403.01,404.12,401.12,403.64,22758500
2025-02-18,403.22,405.79,401.73,404.84,21423100
2025-02-19,403.10,410.62,402.87,409.91,24114200
2025-02-20,411.24,415.22,408.52,412.08,23508700
2025-02-21,413.27,413.98,403.92,404.23,27524800
2025-02-24,404.53,405.38,395.43,400.06,26443700
2025-02-25,397.19,398.00,392.84,394.02,29387400
2025-02-26,394.13,399.67,390.41,395.84,19619000
2025-02-27,397.36,401.79,388.35,388.71,21127400
2025-02-28,388.83,393.76,382.80,393.12,32845700
